LK_SL_TRIAL_L4_DATA_ID;LK_EXPERIMENT_EXPERIMENT_ID;YEAR;SPECIES_GROUP;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;REPLICATION_NUM;ENTRY_NUM;LK_STOCK_S1_DATA_ID;STATUS;CULTURE_UNIT_X;CULTURE_UNIT_Y;CULTURE_UNIT_ROUTE_NUM;DESIGN_PLOT_CODE;DESIGN_X;DESIGN_Y;TRANSFER_APPY;SPECIES_ID;SPECIES_SPECIFICITY_ID;PLOT_DEFINITION_HASH
815624;58337;2015;7;T;-;RC;TD_VO_04;1;43;422;T;128;4;;146;6;4;1;12;25;
815969;58339;2015;7;T;-;RC;TD_VQ_05;1;42;422;T;52;38;;124;4;2;1;12;25;
810319;58369;2015;7;T;-;RC;TD_VF_04;1;43;422;T;93;11;;146;6;4;1;12;25;
815017;58390;2015;7;T;-;RC;TD_VG_04;1;42;422;T;98;2;;124;4;2;1;12;25;
815018;58390;2015;7;T;-;RC;TD_VG_04;1;43;422;T;100;4;;146;6;4;1;12;25;
815792;58334;2015;7;T;-;RC;TD_VM_05;1;41;422;T;57;35;;162;2;6;1;12;25;
815791;58334;2015;7;T;-;RC;TD_VM_05;1;42;422;T;59;31;;124;4;2;1;12;25;
815797;58334;2015;7;T;-;RC;TD_VM_05;1;43;422;T;61;33;;146;6;4;1;12;25;
810255;58380;2015;7;T;-;RC;TD_SF_05;1;43;422;T;82;33;;146;6;4;1;12;25;
810777;58387;2015;7;T;-;RC;TD_VB_04;1;42;422;T;77;9;;124;4;2;0;12;25;
810605;58383;2015;7;T;-;RC;TD_VD_05;1;41;422;T;71;42;;162;2;6;1;12;25;
810602;58383;2015;7;T;-;RC;TD_VD_05;1;43;422;T;75;40;;146;6;4;1;12;25;
810913;58368;2015;7;T;-;RC;TD_VE_04;1;42;422;T;91;2;;124;4;2;1;12;25;
810970;58368;2015;7;T;-;RC;TD_VE_04;1;43;422;T;93;4;;146;6;4;1;12;25;
829746;58919;2015;7;T;-;RC;TD_TM_04;2;1;422;T;44;12;;211;11;1;0;12;25;
823146;58320;2015;7;T;-;RC;TD_VR_05;1;41;422;T;50;35;;162;2;6;1;12;25;
823149;58320;2015;7;T;-;RC;TD_VR_05;1;42;422;T;52;31;;124;4;2;1;12;25;
823168;58325;2015;7;T;-;RC;TD_VR_04;1;41;422;T;131;13;;162;2;6;1;12;25;
823169;58325;2015;7;T;-;RC;TD_VR_04;1;43;422;T;135;11;;146;6;4;1;12;25;
810455;58379;2015;7;T;-;RC;TD_SD_05;1;41;422;T;43;42;;162;2;6;1;12;25;
818712;58903;2015;7;T;-;RC;TD_TD_55;1;20;422;T;53;8;;104;4;1;1;12;25;
826245;58951;2015;7;T;-;RC;TD_TF_04;2;34;422;T;44;10;;224;11;2;1;12;25;
826340;58947;2015;7;T;-;RC;TD_TG_01;1;24;422;T;90;9;;116;16;1;1;12;25;
829593;58921;2015;7;T;-;RC;TD_TI_05;2;30;422;T;68;13;;213;13;1;1;12;25;
829172;58915;2015;7;T;-;RC;TD_TK_05;2;24;422;T;75;8;;214;11;2;1;12;25;
829935;58917;2015;7;T;-;RC;TD_TL_04;1;1;422;T;41;9;;108;8;1;0;12;25;
818201;58699;2015;7;T;-;RC;TD_TD_07;2;20;422;T;3;6;;203;3;1;1;12;25;
818292;58630;2015;7;T;-;RC;TD_TD_06;1;20;422;T;52;9;;119;19;1;1;12;25;
818141;58635;2015;7;T;-;RC;TD_TD_09;2;20;422;T;62;10;;208;8;1;1;12;25;
828890;58636;2015;7;T;-;RC;TD_TE_05;1;28;422;T;19;2;;110;5;2;1;12;25;
828919;58900;2015;7;T;-;RC;TD_TE_01;1;28;422;T;42;7;;110;10;1;1;12;25;
828913;58900;2015;7;T;-;RC;TD_TE_01;2;28;422;T;54;8;;222;22;1;1;12;25;
828511;58683;2015;7;T;-;RC;TD_TB_51;1;28;422;T;10;4;;110;10;1;1;12;25;
828517;58683;2015;7;T;-;RC;TD_TB_51;2;28;422;T;22;5;;222;22;1;1;12;25;
828711;58690;2015;7;T;-;RC;TD_TC_50;1;20;422;T;5;25;;104;4;1;1;12;25;
828717;58690;2015;7;T;-;RC;TD_TC_50;2;20;422;T;4;29;;203;3;1;1;12;25;
828841;58694;2015;7;T;-;RC;TD_TC_54;1;20;422;T;4;6;;104;4;1;1;12;25;
828847;58694;2015;7;T;-;RC;TD_TC_54;2;20;422;T;3;7;;203;3;1;1;12;25;
822966;58619;2015;7;T;-;RC;TD_TA_50;1;28;422;T;2;5;;101;1;1;1;12;25;
822969;58619;2015;7;T;-;RC;TD_TA_50;2;28;422;T;15;6;;214;14;1;1;12;25;
821295;58671;2015;7;T;-;RC;TD_TA_58;1;3;422;T;37;1;;121;21;1;1;12;25;
827838;58685;2015;7;T;-;RC;TD_TB_08;1;28;422;T;42;9;;110;10;1;1;12;25;
816445;56023;2015;7;T;-;RC;TD_ST_05;1;47;423;T;22;17;;122;2;2;0;12;25;
373196;44201;2016;7;T;-;RC;TD_TA_51;1;25;423;;10;1;;109;9;1;1;12;25;
815823;58332;2015;7;T;-;RC;TD_VM_04;1;48;423;T;119;4;;144;4;4;0;12;25;
815810;58332;2015;7;T;-;RC;TD_VM_04;1;49;423;T;121;6;;166;6;6;0;12;25;
815628;58337;2015;7;T;-;RC;TD_VO_04;1;47;423;T;124;2;;122;2;2;1;12;25;
815629;58337;2015;7;T;-;RC;TD_VO_04;1;49;423;T;128;6;;166;6;6;1;12;25;
815992;58339;2015;7;T;-;RC;TD_VQ_05;1;47;423;T;50;38;;122;2;2;1;12;25;
811672;56001;2015;7;T;-;RC;TD_SK_05;1;49;423;T;33;21;;166;6;6;1;12;25;
810374;58369;2015;7;T;-;RC;TD_VF_04;1;47;423;T;89;9;;122;2;2;1;12;25;
810372;58369;2015;7;T;-;RC;TD_VF_04;1;48;423;T;91;11;;144;4;4;1;12;25;
810371;58369;2015;7;T;-;RC;TD_VF_04;1;49;423;T;93;13;;166;6;6;1;12;25;
815070;58390;2015;7;T;-;RC;TD_VG_04;1;47;423;T;96;2;;122;2;2;1;12;25;
815730;58334;2015;7;T;-;RC;TD_VM_05;1;48;423;T;59;33;;144;4;4;1;12;25;
815735;58334;2015;7;T;-;RC;TD_VM_05;1;49;423;T;61;35;;166;6;6;1;12;25;
810257;58380;2015;7;T;-;RC;TD_SF_05;1;47;423;T;78;31;;122;2;2;1;12;25;
810258;58380;2015;7;T;-;RC;TD_SF_05;1;48;423;T;80;33;;144;4;4;1;12;25;
810256;58380;2015;7;T;-;RC;TD_SF_05;1;49;423;T;82;35;;166;6;6;1;12;25;
810785;58387;2015;7;T;-;RC;TD_VB_04;1;48;423;T;77;11;;144;4;4;0;12;25;
810609;58383;2015;7;T;-;RC;TD_VD_05;1;48;423;T;73;40;;144;4;4;1;12;25;
810977;58368;2015;7;T;-;RC;TD_VE_04;1;48;423;T;91;4;;144;4;4;1;12;25;
823122;58320;2015;7;T;-;RC;TD_VR_05;1;47;423;T;50;31;;122;2;2;1;12;25;
823121;58320;2015;7;T;-;RC;TD_VR_05;1;48;423;T;52;33;;144;4;4;1;12;25;
823127;58320;2015;7;T;-;RC;TD_VR_05;1;49;423;T;54;35;;166;6;6;1;12;25;
823192;58325;2015;7;T;-;RC;TD_VR_04;1;48;423;T;133;11;;144;4;4;1;12;25;
823191;58325;2015;7;T;-;RC;TD_VR_04;1;49;423;T;135;13;;166;6;6;1;12;25;
810459;58379;2015;7;T;-;RC;TD_SD_05;1;48;423;T;45;40;;144;4;4;1;12;25;
826259;58951;2015;7;T;-;RC;TD_TF_04;1;33;423;T;41;7;;108;8;1;1;12;25;
826253;58951;2015;7;T;-;RC;TD_TF_04;2;33;423;T;47;9;;214;14;1;1;12;25;
829598;58921;2015;7;T;-;RC;TD_TI_05;1;29;423;T;65;11;;110;10;1;1;12;25;
829596;58921;2015;7;T;-;RC;TD_TI_05;2;29;423;T;62;14;;224;7;2;1;12;25;
829175;58915;2015;7;T;-;RC;TD_TK_05;2;23;423;T;75;7;;211;11;1;1;12;25;
829743;58919;2015;7;T;-;RC;TD_TM_04;2;2;423;T;45;12;;212;12;1;0;12;25;
828869;58636;2015;7;T;-;RC;TD_TE_05;1;27;423;T;21;2;;108;7;2;1;12;25;
828863;58636;2015;7;T;-;RC;TD_TE_05;2;27;423;T;15;6;;214;1;2;1;12;25;
828918;58900;2015;7;T;-;RC;TD_TE_01;1;27;423;T;40;7;;108;8;1;1;12;25;
828916;58900;2015;7;T;-;RC;TD_TE_01;2;27;423;T;46;8;;214;14;1;1;12;25;
818715;58903;2015;7;T;-;RC;TD_TD_55;1;19;423;T;66;8;;117;17;1;1;12;25;
818714;58903;2015;7;T;-;RC;TD_TD_55;2;19;423;T;67;9;;218;18;1;1;12;25;
818205;58699;2015;7;T;-;RC;TD_TD_07;1;19;423;T;17;5;;117;17;1;1;12;25;
818204;58699;2015;7;T;-;RC;TD_TD_07;2;19;423;T;18;6;;218;18;1;1;12;25;
818295;58630;2015;7;T;-;RC;TD_TD_06;1;19;423;T;35;9;;102;2;1;1;12;25;
818294;58630;2015;7;T;-;RC;TD_TD_06;2;19;423;T;45;10;;212;12;1;1;12;25;
818145;58635;2015;7;T;-;RC;TD_TD_09;1;19;423;T;56;9;;102;2;1;1;12;25;
818144;58635;2015;7;T;-;RC;TD_TD_09;2;19;423;T;66;10;;212;12;1;1;12;25;
828294;58668;2015;7;T;-;RC;TD_TC_08;1;19;423;T;17;8;113;117;17;1;1;12;25;
828292;58668;2015;7;T;-;RC;TD_TC_08;2;19;423;T;18;9;125;218;18;1;1;12;25;
828184;58669;2015;7;T;-;RC;TD_TC_09;1;19;423;T;66;5;;102;2;1;1;12;25;
828182;58669;2015;7;T;-;RC;TD_TC_09;2;19;423;T;76;6;;212;12;1;1;12;25;
828714;58690;2015;7;T;-;RC;TD_TC_50;1;19;423;T;5;28;;117;4;4;1;12;25;
828844;58694;2015;7;T;-;RC;TD_TC_54;1;19;423;T;17;6;;117;17;1;1;12;25;
822968;58619;2015;7;T;-;RC;TD_TA_50;3;27;423;T;5;7;;304;4;1;1;12;25;
827829;58680;2015;7;T;-;RC;TD_TB_07;1;27;423;T;9;1;;108;8;1;1;12;25;
827823;58680;2015;7;T;-;RC;TD_TB_07;2;27;423;T;15;2;;214;14;1;1;12;25;
827831;58685;2015;7;T;-;RC;TD_TB_08;1;27;423;T;40;9;;108;8;1;1;12;25;
827837;58685;2015;7;T;-;RC;TD_TB_08;2;27;423;T;46;10;;214;14;1;1;12;25;
828514;58683;2015;7;T;-;RC;TD_TB_51;1;27;423;T;8;4;;108;8;1;1;12;25;
822723;58611;2015;7;T;-;RC;TD_TA_08;2;27;423;T;15;9;;214;14;1;1;12;25;
822710;58611;2015;7;T;-;RC;TD_TA_08;3;27;423;T;25;10;;324;24;1;1;12;25;
822753;58611;2015;7;T;-;RC;TD_TA_08;3;20;455;;6;10;;305;5;1;1;12;25;
822972;58619;2015;7;T;-;RC;TD_TA_50;1;20;455;;29;5;;128;28;1;1;12;25;
822977;58619;2015;7;T;-;RC;TD_TA_50;3;20;455;;15;7;;314;14;1;1;12;25;
821276;58671;2015;7;T;-;RC;TD_TA_58;1;4;455;;43;1;;127;27;1;1;12;25;
821279;58671;2015;7;T;-;RC;TD_TA_58;2;4;455;;20;2;;204;4;1;1;12;25;
