YEAR;SPECIES;SPECIES_SPECIFICITY;ORIGIN;SL_TRIAL;TRANSFER_APPY;SL_TRIAL_HASH;QUALIFICATION;RESULT;SPECIES_ID;SPECIES_SPECIFICITY_ID
2015;W;-;RC;WL_54_09;1;;SPRAY;N;13;26
2015;W;-;RC;WL_54_09;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_54_09;1;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_58_09;1;;FHB_INO;NO;13;26
2015;W;-;RC;WL_58_09;1;;FGD;Y;13;26
2015;W;-;RC;WL_58_09;1;;HARVEST_DATE;23/07/2015;13;26
2015;W;-;RC;WL_58_09;1;;SPRAY;N;13;26
2015;W;-;RC;WL_58_09;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_58_09;1;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_81_02;0;;FHB_INO;NO;13;26
2015;W;-;RC;WL_81_02;0;;FGD;Y;13;26
2015;W;-;RC;WL_81_02;0;;HARVEST_DATE;23/07/2015;13;26
2015;W;-;RC;WL_81_02;0;;SPRAY;N;13;26
2015;W;-;RC;WL_81_02;0;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_81_02;0;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_09_07;1;;FHB_INO;SPRAYING;13;26
2015;W;-;RC;WL_09_07;1;;FGD;N;13;26
2015;W;-;RC;WL_09_07;1;;HARVEST_DATE;22/07/2015;13;26
2015;W;-;RC;WL_09_07;1;;SPRAY;N;13;26
2015;W;-;RC;WL_09_07;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_09_07;1;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_50_07;1;;FHB_INO;SPRAYING;13;26
2015;W;-;RC;WL_50_07;1;;FGD;N;13;26
2015;W;-;RC;WL_50_07;1;;HARVEST_DATE;22/07/2015;13;26
2015;W;-;RC;WL_50_07;1;;SPRAY;N;13;26
2015;W;-;RC;WL_50_07;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_50_07;1;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_40_04;1;;FHB_INO;SPRAYING;13;26
2015;W;-;RC;WL_40_04;1;;FGD;N;13;26
2015;W;-;RC;WL_40_04;1;;HARVEST_DATE;22/07/2015;13;26
2015;W;-;RC;WL_40_04;1;;SPRAY;N;13;26
2015;W;-;RC;WL_40_04;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_40_04;1;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_14_02;0;;FHB_INO;NO;13;26
2015;W;-;RC;WL_14_02;0;;FGD;Y;13;26
2015;W;-;RC;WL_14_02;0;;HARVEST_DATE;24/07/2015;13;26
2015;W;-;RC;WL_14_02;0;;SPRAY;N;13;26
2015;W;-;RC;WL_14_02;0;;PHOSPHATE;N+;13;26
2015;W;-;RC;WL_14_02;0;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_12_05;0;;FHB_INO;NO;13;26
2015;W;-;RC;WL_12_05;0;;FGD;Y;13;26
2015;W;-;RC;WL_12_05;0;;HARVEST_DATE;17/07/2015;13;26
2015;W;-;RC;WL_12_05;0;;SPRAY;N;13;26
2015;W;-;RC;WL_12_05;0;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_12_05;0;;SOWING_DATE;03/10/2014;13;26
2015;W;-;RC;WL_01_02;1;;FHB_INO;SPRAYING;13;26
2015;W;-;RC;WL_01_02;1;;FGD;N;13;26
2015;W;-;RC;WL_01_02;1;;HARVEST_DATE;16/07/2015;13;26
2015;W;-;RC;WL_01_02;1;;SPRAY;N;13;26
2015;W;-;RC;WL_01_02;1;;PHOSPHATE;N;13;26
2015;W;-;RC;WL_01_02;1;;SOWING_DATE;03/10/2014;13;26
2015;D;-;RC;DD_BB_02;1;;FGD;Y;7;15
2015;D;-;RC;DD_BB_02;1;;HARVEST_DATE;21/07/2015;7;15
2015;D;-;RC;DD_BB_02;1;;SOWING_DATE;20/10/2014;7;15
2015;D;-;RC;DD_CH_04;1;;FGD;Y;7;15
2015;D;-;RC;DD_CH_04;1;;HARVEST_DATE;21/07/2015;7;15
2015;D;-;RC;DD_CH_04;1;;SOWING_DATE;20/10/2014;7;15
2015;O;H;RC;OR_AL_05;0;;HARVEST_DATE;17/07/2015;8;80
2015;O;H;RC;OR_AL_05;0;;SPRAY;N;8;80
2015;O;H;RC;OR_AL_05;0;;SOWING_DATE;01/10/2014;8;80
2015;O;H;RC;OR_OA_05;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HE_05;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HP_05;1;;SOWING_DATE;02/10/2014;8;80
2015;O;H;RC;OR_HQ_05;1;;SOWING_DATE;02/10/2014;8;80
